ds,y
2016-07-11,104
2016-07-12,127
2016-07-13,126
2016-07-14,109
2016-07-15,101
2016-07-16,105
2016-07-17,108
2016-07-18,108
2016-07-19,115
2016-07-20,117
2016-07-21,120
2016-07-22,113
2016-07-23,97
2016-07-24,107
2016-07-25,139
2016-07-26,117
2016-07-27,141
2016-07-28,144
2016-07-29,130
2016-07-30,97
2016-07-31,96
2016-08-01,103
2016-08-02,116
2016-08-03,130
2016-08-04,105
2016-08-05,100
2016-08-06,108
2016-08-07,120
2016-08-08,109
2016-08-09,121
2016-08-10,117
2016-08-11,109
2016-08-12,96
2016-08-13,103
2016-08-14,103
2016-08-15,118
2016-08-16,111
2016-08-17,109
2016-08-18,116
2016-08-19,105
2016-08-20,113
2016-08-21,91
2016-08-22,117
2016-08-23,154
2016-08-24,137
2016-08-25,116
2016-08-26,116
2016-08-27,117
2016-08-28,112
2016-08-29,140
2016-08-30,135
2016-08-31,152
2016-09-01,146
2016-09-02,118
2016-09-03,113
2016-09-04,100
2016-09-05,146
2016-09-06,135
2016-09-07,146
2016-09-08,131
2016-09-09,134
2016-09-10,128
2016-09-11,97
2016-09-12,154
2016-09-13,146
2016-09-14,160
2016-09-15,138
2016-09-16,110
2016-09-17,124
2016-09-18,94
2016-09-19,160
2016-09-20,123
2016-09-21,134
2016-09-22,143
2016-09-23,106
2016-09-24,107
2016-09-25,116
2016-09-26,137
2016-09-27,146
2016-09-28,127
2016-09-29,143
2016-09-30,118
2016-10-01,92
2016-10-02,98
2016-10-03,148
2016-10-04,136
2016-10-05,137
2016-10-06,139
2016-10-07,118
2016-10-08,111
2016-10-09,97
2016-10-10,142
2016-10-11,135
2016-10-12,145
2016-10-13,150
2016-10-14,117
2016-10-15,99
2016-10-16,91
2016-10-17,143
2016-10-18,128
2016-10-19,134
2016-10-20,147
2016-10-21,105
2016-10-22,113
2016-10-23,93
2016-10-24,114
2016-10-25,157
2016-10-26,130
2016-10-27,140
2016-10-28,121
2016-10-29,108
2016-10-30,104
2016-10-31,123
2016-11-01,136
2016-11-02,120
2016-11-03,130
2016-11-04,111
2016-11-05,99
2016-11-06,98
2016-11-07,136
2016-11-08,133
2016-11-09,154
2016-11-10,126
2016-11-11,118
2016-11-12,99
2016-11-13,112
2016-11-14,120
2016-11-15,144
2016-11-16,138
2016-11-17,150
2016-11-18,109
2016-11-19,108
2016-11-20,130
2016-11-21,135
2016-11-22,138
2016-11-23,142
2016-11-24,125
2016-11-25,119
2016-11-26,112
2016-11-27,90
2016-11-28,126
2016-11-29,144
2016-11-30,149
2016-12-01,116
2016-12-02,125
2016-12-03,107
2016-12-04,111
2016-12-05,139
2016-12-06,145
2016-12-07,130
2016-12-08,141
2016-12-09,142
2016-12-10,88
2016-12-11,125
2016-12-12,144
2016-12-13,131
2016-12-14,134
